id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
D58,science,Which type of radiation has the highest energy?,Radio waves,Visible light,Ultraviolet light,Gamma rays,D,"Gamma rays have the highest energy and shortest wavelength in the electromagnetic spectrum."
D59,science,What is the correct term for an organism that can produce its own food?,Autotroph,Heterotroph,Consumer,Decomposer,A,"Autotrophs are organisms that can produce their own food through processes like photosynthesis or chemosynthesis."
D60,science,Which of these is NOT a function of the liver?,Detoxification,Blood cell production,Bile production,Protein synthesis,B,"While the liver has many functions, blood cell production is primarily performed by the bone marrow, not the liver."
D61,science,In genetics, what term describes the physical expression of genes?,Genotype,Phenotype,Karyotype,Prototype,B,"Phenotype refers to the observable physical characteristics of an organism as a result of its genetic makeup and environmental influences."
D62,science,Which of these is a renewable energy source?,Coal,Natural gas,Uranium,Solar,D,"Solar energy is renewable because it comes from the sun, which will continue to provide energy for billions of years."
D63,science,What is the basic functional unit of the kidney?,Nephron,Neuron,Alveolus,Villus,A,"The nephron is the basic structural and functional unit of the kidney, responsible for filtering blood and forming urine."
D64,science,Which of these elements has the highest electronegativity?,Sodium,Carbon,Chlorine,Fluorine,D,"Fluorine has the highest electronegativity of all elements, making it the most electron-attracting element."
D65,science,What is the process by which rocks are broken down by chemical and physical processes?,Erosion,Lithification,Weathering,Sedimentation,C,"Weathering is the process by which rocks are broken down into smaller pieces through exposure to the atmosphere, water, and organisms."
D66,science,Which of these organs is part of the endocrine system?,Lungs,Kidney,Pancreas,Stomach,C,"The pancreas is part of the endocrine system, producing hormones like insulin and glucagon that regulate blood sugar."
D67,science,What principle states that no two electrons in an atom can have the same set of quantum numbers?,Heisenberg's Uncertainty Principle,Aufbau Principle,Pauli Exclusion Principle,Hund's Rule,C,"The Pauli Exclusion Principle states that no two electrons in an atom can have identical quantum numbers, ensuring each electron has a unique quantum state."
D68,science,Which of these is NOT a stage of mitosis?,Prophase,Interphase,Metaphase,Anaphase,B,"Interphase is not a stage of mitosis but rather the period between cell divisions when the cell grows and replicates its DNA."
D69,science,What is the speed of light in a vacuum approximately equal to?,150,000 km/s,300,000 km/s,450,000 km/s,600,000 km/s,B,"The speed of light in a vacuum is approximately 300,000 kilometers per second (or 3 × 10^8 m/s)."
D70,science,Which of these is a characteristic of all enzymes?,Made of nucleic acids,Consumed in reactions,Protein in nature,Function only at high temperatures,C,"Most enzymes are proteins in nature, though some RNA molecules (ribozymes) can also function as enzymes."
D71,science,What term describes the region in space surrounding a charged particle where it exerts a force on other charged particles?,Magnetic field,Electric field,Gravitational field,Electromagnetic spectrum,B,"An electric field is the region around a charged particle where it exerts a force on other charged particles."
D72,science,Which of these elements is a halogen?,Sodium,Neon,Chlorine,Calcium,C,"Chlorine is a halogen, belonging to group 17 of the periodic table along with fluorine, bromine, iodine, and astatine."
D73,science,What is the name for a group of elements with similar chemical properties arranged in a column on the periodic table?,Period,Row,Group,Family,D,"A family or group is a vertical column in the periodic table containing elements with similar chemical properties due to their electron configurations."
D74,science,Which of these waves requires a medium to travel?,Radio waves,Microwaves,Light waves,Sound waves,D,"Sound waves are mechanical waves that require a medium (solid, liquid, or gas) to travel through, unlike electromagnetic waves."
D75,science,What is the term for a substance that increases the rate of a chemical reaction without being consumed in the process?,Catalyst,Reactant,Product,Inhibitor,A,"A catalyst is a substance that increases the rate of a chemical reaction without being consumed in the process."
D76,science,Which scientist proposed the theory of general relativity?,Isaac Newton,Niels Bohr,Albert Einstein,Galileo Galilei,C,"Albert Einstein proposed the theory of general relativity in 1915, describing gravity as a geometric property of space and time."
D77,science,What is the primary function of the alveoli in the lungs?,Blood filtration,Gas exchange,Sound production,Heat regulation,B,"Alveoli are the primary sites of gas exchange in the lungs, where oxygen enters the bloodstream and carbon dioxide is removed."
D78,science,Which of these is NOT a type of chemical bond?,Ionic bond,Covalent bond,Quantum bond,Hydrogen bond,C,"Quantum bond is not a recognized type of chemical bond. The main types include ionic, covalent, hydrogen, and metallic bonds."
D79,science,What property of water allows it to have a relatively stable temperature?,High specific heat capacity,Low density,Low boiling point,Low surface tension,A,"Water has a high specific heat capacity, meaning it can absorb or release significant amounts of heat with only small temperature changes."
D80,science,Which of these is a correct statement of the Second Law of Thermodynamics?,Energy is always conserved,Entropy in a closed system tends to increase,Heat flows from cold to hot,Work can be completely converted to heat,B,"The Second Law of Thermodynamics states that the total entropy of an isolated system always increases over time or remains constant in ideal cases."
D81,science,Which organelle is responsible for detoxifying drugs and poisons in liver cells?,Nucleus,Smooth endoplasmic reticulum,Mitochondria,Golgi apparatus,B,"The smooth endoplasmic reticulum in liver cells contains enzymes that detoxify drugs, metabolize alcohol, and neutralize various poisons."
D82,science,What is the term for a substance that turns red litmus paper blue?,Acid,Base,Neutral,Buffer,B,"A base turns red litmus paper blue, while an acid turns blue litmus paper red."
D83,science,Which scientist is associated with the discovery of penicillin?,Louis Pasteur,Alexander Fleming,Robert Koch,Joseph Lister,B,"Alexander Fleming discovered penicillin in 1928 when he noticed a mold (Penicillium) inhibiting bacterial growth."
D84,science,What is the primary function of chlorophyll in plants?,Energy storage,Gas exchange,Light absorption for photosynthesis,Structural support,C,"Chlorophyll is the pigment in plants that absorbs light energy, primarily blue and red wavelengths, for use in photosynthesis."
D85,science,Which of these is NOT a domain in the three-domain system of biological classification?,Bacteria,Archaea,Protista,Eukarya,C,"Protista is not a domain in the three-domain system, which consists of Bacteria, Archaea, and Eukarya."
D86,science,What is the functional unit of the nervous system?,Neuron,Nephron,Actin,Myosin,A,"The neuron is the basic functional unit of the nervous system, specialized for transmitting information via electrical and chemical signals."
D87,science,Which of these is a correct statement of Ohm's Law?,Current = Voltage × Resistance,Current = Voltage ÷ Resistance,Resistance = Voltage × Current,Voltage = Current ÷ Resistance,B,"Ohm's Law states that current equals voltage divided by resistance (I = V/R)."
D88,science,Which of these is NOT a state of matter?,Solid,Liquid,Gas,Energy,D,"Energy is not a state of matter. The main states of matter are solid, liquid, gas, and plasma."
D89,science,What is the approximate atomic mass of carbon-12?,6 amu,12 amu,14 amu,24 amu,B,"Carbon-12 has an atomic mass of exactly 12 atomic mass units (amu), by definition."
D90,science,Which of these is the correct formula for calculating density?,Density = Mass × Volume,Density = Mass + Volume,Density = Mass ÷ Volume,Density = Volume ÷ Mass,C,"Density is calculated as mass divided by volume (D = m/V)."
D91,science,What principle states that when a body is partially or completely immersed in a fluid, it experiences an upward force equal to the weight of the fluid it displaces?,Pascal's Principle,Bernoulli's Principle,Archimedes' Principle,Newton's Principle,C,"Archimedes' Principle states that a body immersed in a fluid experiences an upward buoyant force equal to the weight of the fluid it displaces."
D92,science,Which of these structures is NOT found in plant cells?,Cell wall,Chloroplast,Centriole,Vacuole,C,"Centrioles are typically found in animal cells but not in mature plant cells."
D93,science,What is the primary pigment responsible for skin color in humans?,Keratin,Collagen,Melanin,Carotene,C,"Melanin is the primary pigment determining skin color in humans, with higher amounts resulting in darker skin tones."
D94,science,Which blood vessels carry blood away from the heart?,Arteries,Veins,Capillaries,Venules,A,"Arteries carry blood away from the heart to the body's tissues, regardless of whether the blood is oxygenated or deoxygenated."
D95,science,What is the term for the process by which certain materials become magnetic when placed in a magnetic field?,Ferromagnetism,Paramagnetism,Diamagnetism,Electromagnetism,B,"Paramagnetism is the property of materials to become weakly magnetic when placed in a magnetic field, with magnetization proportional to the field strength."
D96,science,Which of these is NOT a characteristic of acids?,Turn blue litmus paper red,Have a pH less than 7,Produce hydroxide ions in solution,React with bases to form salts,C,"Acids do not produce hydroxide ions in solution; they produce hydrogen ions (H+). Bases produce hydroxide ions (OH-)."
D97,science,What is the name of the theory that explains the origin and evolution of the universe from a singularity approximately 13.8 billion years ago?,Steady State Theory,Big Bang Theory,Multiverse Theory,Inflation Theory,B,"The Big Bang Theory proposes that the universe originated from an extremely hot and dense singularity about 13.8 billion years ago and has been expanding ever since."
D98,science,Which of these elements is essential for the formation of hemoglobin in red blood cells?,Calcium,Iron,Potassium,Sodium,B,"Iron is essential for hemoglobin formation, as it binds to oxygen in red blood cells for transport throughout the body."
D99,science,What is the term for the genetic makeup of an organism?,Phenotype,Genotype,Karyotype,Genome,B,"Genotype refers to the genetic makeup of an organism, the set of genes it carries."
D100,science,Which of these celestial bodies is classified as a dwarf planet in our solar system?,Mars,Mercury,Pluto,Europa,C,"Since 2006, Pluto has been classified as a dwarf planet rather than a full planet in our solar system."
E1,history,Which treaty ended World War I?,Treaty of Versailles,Treaty of Paris,Treaty of Westphalia,Treaty of Tordesillas,A,"The Treaty of Versailles, signed on June 28, 1919, formally ended World War I between Germany and the Allied Powers."
E2,history,Which ancient civilization built the Machu Picchu complex in Peru?,Mayans,Aztecs,Incas,Olmecs,C,"Machu Picchu was built by the Incas in the 15th century as a royal estate for Emperor Pachacuti. It's one of the most well-preserved Incan sites and a UNESCO World Heritage site."
E3,history,During which century did the Renaissance begin in Europe?,13th century,14th century,15th century,16th century,B,"The Renaissance began in 14th century Italy, particularly in Florence, before spreading throughout Europe. It marked a period of renewed interest in classical learning and values."
E4,history,Which of these countries was NOT part of the Allied Powers during World War II?,United States,Soviet Union,Japan,United Kingdom,C,"Japan was part of the Axis Powers during World War II, along with Nazi Germany and Fascist Italy. The United States, Soviet Union, and United Kingdom were major Allied Powers."
E5,history,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,Theresa May,Indira Gandhi,Golda Meir,A,"Margaret Thatcher served as Prime Minister of the United Kingdom from 1979 to 1990, making her the first woman to hold this position."
E6,history,Which civilization is credited with developing the first known written legal code?,Babylonian,Egyptian,Greek,Roman,A,"The Code of Hammurabi, created by the Babylonian King Hammurabi around 1754 BCE, is one of the earliest and most complete written legal codes known to history."
E7,history,The Cuban Missile Crisis occurred during which U.S. presidency?,John F. Kennedy,Lyndon B. Johnson,Richard Nixon,Dwight D. Eisenhower,A,"The Cuban Missile Crisis occurred in October 1962 during John F. Kennedy's presidency, when the Soviet Union placed nuclear missiles in Cuba."
E8,history,Which ancient empire was ruled by Cyrus the Great?,Roman Empire,Persian Empire,Greek Empire,Egyptian Empire,B,"Cyrus the Great was the founder and ruler of the Achaemenid Empire, also known as the First Persian Empire, from approximately 550 BCE until his death in 530 BCE."
E9,history,The French Revolution began in which year?,1776,1789,1798,1804,B,"The French Revolution began in 1789 with the storming of the Bastille on July 14, leading to far-reaching social and political upheaval in France."
E10,history,Which civilization built the ancient city of Teotihuacan in Mexico?,Aztecs,Mayans,Olmecs,Toltecs,D,"While often attributed to the Aztecs, Teotihuacan was primarily built by the Toltecs. The Aztecs discovered the already abandoned city centuries later and named it Teotihuacan ('place where the gods were created')."
E11,history,Which event marked the beginning of World War II in Europe?,German invasion of Poland,Japanese attack on Pearl Harbor,Battle of Britain,Italian invasion of Ethiopia,A,"World War II in Europe began with Nazi Germany's invasion of Poland on September 1, 1939, prompting declarations of war from Britain and France."
E12,history,Which of these ancient wonders was located in Alexandria?,Colossus of Rhodes,Hanging Gardens of Babylon,Lighthouse of Alexandria,Temple of Artemis,C,"The Lighthouse of Alexandria, also known as the Pharos of Alexandria, was built between 280-247 BCE and was one of the Seven Wonders of the Ancient World."
E13,history,The Ming Dynasty ruled which country?,Japan,Korea,China,Vietnam,C,"The Ming Dynasty ruled China from 1368 to 1644, following the collapse of the Mongol-led Yuan Dynasty. It was the last imperial dynasty in China ruled by ethnic Han Chinese."
E14,history,Which of these leaders was NOT assassinated while in office?,Abraham Lincoln,John F. Kennedy,Franklin D. Roosevelt,Indira Gandhi,C,"Franklin D. Roosevelt died of a cerebral hemorrhage in 1945 while serving his fourth term as U.S. President. The other leaders listed were all assassinated during their terms in office."
E15,history,The Berlin Wall fell in which year?,1985,1987,1989,1991,C,"The Berlin Wall, which had divided East and West Berlin since 1961, fell on November 9, 1989, marking a significant moment in the end of the Cold War."
E16,history,Who was the first Emperor of Rome?,Julius Caesar,Augustus,Nero,Constantine,B,"Augustus (born Octavian) became the first Roman Emperor in 27 BCE, after the assassination of his great-uncle Julius Caesar, who was never officially emperor."
E17,history,Which country was NOT involved in the Thirty Years' War (1618-1648)?,Spain,Russia,Sweden,France,B,"Russia was not a direct participant in the Thirty Years' War, which primarily involved the Holy Roman Empire, France, Sweden, Spain, and various German states."
E18,history,The Magna Carta was signed during which English king's reign?,Richard I,John,Henry VIII,Edward I,B,"The Magna Carta was signed by King John of England in 1215 after a rebellion by his barons. It limited royal power and established that the king was subject to the law."
E19,history,Which ancient society is known for developing democracy?,Romans,Egyptians,Persians,Greeks,D,"Ancient Athens in Greece developed the first known democratic system in the 5th century BCE, though it was limited to free adult male citizens and excluded women, slaves, and foreigners."
E20,history,The Opium Wars were fought between China and which country?,Russia,France,United Kingdom,United States,C,"The Opium Wars (1839-1842 and 1856-1860) were fought between China's Qing Dynasty and the United Kingdom, primarily over British trade in opium and commercial privileges."
E21,history,Who authored the 'Communist Manifesto'?,Vladimir Lenin,Joseph Stalin,Karl Marx and Friedrich Engels,Mao Zedong,C,"The Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848. It outlined the theory of historical materialism and advocated for the overthrow of capitalist society."
E22,history,Which of these was NOT a cause of World War I?,Assassination of Archduke Franz Ferdinand,The Great Depression,Militarism and arms races,Nationalism and imperialism,B,"The Great Depression began in 1929, a decade after World War I ended. The other factors listed were key causes of World War I, which lasted from 1914 to 1918."
E23,history,The Mauryan Empire was located in present-day?,Egypt,Greece,India,China,C,"The Mauryan Empire was one of ancient India's largest and most powerful dynasties, ruling from approximately 321 to 185 BCE, with its capital at Pataliputra (modern-day Patna)."
E24,history,Which civilization built the ancient city of Carthage?,Greeks,Persians,Phoenicians,Egyptians,C,"Carthage was founded by the Phoenicians in the 9th century BCE on the coast of North Africa (in present-day Tunisia) and became a major Mediterranean power."
E25,history,The Industrial Revolution began in which country?,United States,France,Germany,Great Britain,D,"The Industrial Revolution began in Great Britain in the late 18th century, transforming manufacturing processes and leading to significant social and economic changes."
E26,history,Which U.S. amendment abolished slavery?,13th Amendment,14th Amendment,15th Amendment,16th Amendment,A,"The 13th Amendment to the U.S. Constitution, ratified in 1865, abolished slavery and involuntary servitude except as punishment for a crime."
E27,history,The War of the Roses was fought between which English houses?,York and Tudor,Lancaster and Tudor,York and Lancaster,Tudor and Stuart,C,"The Wars of the Roses (1455-1487) were a series of civil wars fought between the Houses of York and Lancaster for control of the English throne."
E28,history,Which of these events occurred earliest?,American Civil War,French Revolution,World War I,Russian Revolution,B,"The French Revolution began in 1789, while the American Civil War was fought from 1861-1865, World War I from 1914-1918, and the Russian Revolution occurred in 1917."
E29,history,The Cultural Revolution took place in which country?,Soviet Union,Vietnam,Cambodia,China,D,"The Cultural Revolution was a sociopolitical movement in China from 1966 to 1976, launched by Chairman Mao Zedong to preserve Chinese communism and purge capitalist elements."
E30,history,The Ottoman Empire's capital was?,Cairo,Damascus,Constantinople/Istanbul,Baghdad,C,"Constantinople (later renamed Istanbul) served as the capital of the Ottoman Empire from its conquest in 1453 until the empire's dissolution after World War I."
E31,history,Which country was NOT part of the original 13 American colonies?,New York,Vermont,Virginia,Massachusetts,B,"Vermont was not one of the original 13 American colonies. It was disputed territory between New Hampshire and New York before becoming the 14th state in 1791."
E32,history,Who was the last Tsar of Russia?,Peter the Great,Alexander III,Nicholas II,Ivan the Terrible,C,"Nicholas II was the last Emperor of Russia, ruling from 1894 until his forced abdication in March 1917 during the Russian Revolution."
E33,history,The Boxer Rebellion occurred in which country?,Japan,Korea,Vietnam,China,D,"The Boxer Rebellion was an anti-foreign, anti-colonial, and anti-Christian uprising in China between 1899 and 1901, toward the end of the Qing dynasty."
E34,history,Which ancient civilization developed hieroglyphic writing?,Sumerians,Egyptians,Hittites,Phoenicians,B,"Hieroglyphic writing was developed by the ancient Egyptians around 3200 BCE and consisted of pictorial symbols representing words, syllables, or sounds."
E35,history,The Battle of Waterloo in 1815 led to the defeat of?,Napoleon Bonaparte,Julius Caesar,Alexander the Great,Genghis Khan,A,"The Battle of Waterloo was fought on June 18, 1815, near Waterloo in present-day Belgium, resulting in the defeat of Napoleon Bonaparte by British and Prussian forces."
E36,history,During which century did the Black Death plague pandemic sweep through Europe?,12th century,13th century,14th century,15th century,C,"The Black Death primarily affected Europe from 1347 to 1351 (14th century), killing an estimated 30-60% of Europe's population and changing the course of European history."
E37,history,Who was the primary author of the Declaration of Independence?,George Washington,John Adams,Thomas Jefferson,Benjamin Franklin,C,"Thomas Jefferson was the principal author of the Declaration of Independence, which was adopted by the Continental Congress on July 4, 1776."
E38,history,The Great Leap Forward was an economic campaign in which country?,Soviet Union,North Korea,China,Vietnam,C,"The Great Leap Forward was an economic and social campaign in China from 1958 to 1962, led by Chairman Mao Zedong, which resulted in widespread famine and millions of deaths."
E39,history,Which civilization built the city of Machu Picchu?,Maya,Aztec,Olmec,Inca,D,"Machu Picchu was built by the Inca civilization in the 15th century and is located in present-day Peru. It was likely a royal estate for Emperor Pachacuti."
E40,history,The Glorious Revolution of 1688 took place in which country?,France,Spain,England,Netherlands,C,"The Glorious Revolution occurred in England in 1688, when William of Orange and Mary II assumed the throne, replacing King James II and establishing a constitutional monarchy."
E41,history,Which event directly precipitated U.S. entry into World War II?,Fall of France,Battle of Britain,Attack on Pearl Harbor,D-Day invasion,C,"The Japanese attack on Pearl Harbor on December 7, 1941, directly led to the United States declaring war on Japan the following day, bringing America into World War II."
E42,history,Who was the leader of the Soviet Union during most of World War II?,Vladimir Lenin,Joseph Stalin,Nikita Khrushchev,Leon Trotsky,B,"Joseph Stalin was the leader of the Soviet Union from 1924 until his death in 1953, including throughout most of World War II (1939-1945)."
E43,history,Which document established the United Nations?,Atlantic Charter,Geneva Conventions,UN Charter,Treaty of Versailles,C,"The UN Charter was signed on June 26, 1945, in San Francisco and formally established the United Nations after World War II."
E44,history,The Meiji Restoration transformed which country?,China,Japan,Korea,Vietnam,B,"The Meiji Restoration of 1868 restored practical imperial rule to Japan under Emperor Meiji, beginning a period of rapid modernization and Westernization."
E45,history,The Bolshevik Revolution occurred in which year?,1905,1917,1921,1929,B,"The Bolshevik Revolution, also known as the October Revolution, occurred in November 1917 (October in the Julian calendar), when Vladimir Lenin's Bolsheviks seized power in Russia."
E46,history,Which civilization created the first known alphabetic writing system?,Egyptians,Phoenicians,Sumerians,Chinese,B,"The Phoenicians developed the first widely used alphabetic writing system around 1200 BCE, which became the foundation for many modern alphabets, including Greek and Latin."
E47,history,The Congress of Vienna was held after the defeat of?,Alexander the Great,Ottoman Empire,Napoleon Bonaparte,Adolf Hitler,C,"The Congress of Vienna was held from September 1814 to June 1815 to reorganize Europe after the Napoleonic Wars and Napoleon Bonaparte's defeat."
E48,history,The Renaissance began in which region?,England,France,Italy,Spain,C,"The Renaissance began in Italy, particularly in Florence and other northern Italian city-states, during the 14th century before spreading throughout Europe."
E49,history,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Jane Addams,Irène Joliot-Curie,A,"Marie Curie was the first woman to win a Nobel Prize, receiving the Physics Prize in 1903 (shared with her husband Pierre Curie and Henri Becquerel) and later the Chemistry Prize in 1911."
E50,history,The Balfour Declaration of 1917 concerned the establishment of a national home for Jewish people in which region?,Palestine,Egypt,Syria,Jordan,A,"The Balfour Declaration, issued by the British government in 1917, expressed support for the establishment of a 'national home for the Jewish people' in Palestine."
E51,history,Which ancient battle is often cited as saving Western civilization from Persian dominance?,Battle of Marathon,Battle of Thermopylae,Battle of Salamis,Battle of Plataea,A,"The Battle of Marathon in 490 BCE, in which the Athenians defeated a larger Persian force, is often cited as a pivotal moment that prevented Persian dominance over Greece and preserved Western civilization."
E52,history,The Mai Lai Massacre occurred during which conflict?,Korean War,Vietnam War,World War II,First Gulf War,B,"The Mai Lai Massacre, in which U.S. Army soldiers killed hundreds of unarmed Vietnamese civilians, occurred during the Vietnam War on March 16, 1968."
E53,history,Which country was NOT a founding member of the United Nations?,United States,Soviet Union,China,Germany,D,"Germany was not a founding member of the United Nations, as it was an enemy state during World War II. The UN was founded in 1945, and Germany joined in 1973 (as two separate states until reunification)."
E54,history,The Hundred Years' War was primarily fought between which two countries?,England and France,Spain and Portugal,Italy and Austria,Sweden and Russia,A,"The Hundred Years' War (1337-1453) was a series of conflicts between England and France, primarily over claims to the French throne and control of territories in France."
E55,history,Who was the leader of Cuba during the Cuban Missile Crisis?,Che Guevara,Raúl Castro,Fidel Castro,Fulgencio Batista,C,"Fidel Castro was the leader of Cuba during the Cuban Missile Crisis of October 1962, having come to power in 1959 after overthrowing Fulgencio Batista."
E56,history,Which constitutional amendment gave women the right to vote in the United States?,15th Amendment,17th Amendment,19th Amendment,24th Amendment,C,"The 19th Amendment to the United States Constitution, ratified in 1920, prohibited denying citizens the right to vote based on sex, effectively giving women the right to vote."
E57,history,The Silk Road primarily connected which regions?,Europe and Africa,Europe and Asia,Asia and Australia,Africa and South America,B,"The Silk Road was an ancient network of trade routes connecting the East and West, primarily linking China with Europe and the Middle East, facilitating trade and cultural exchange."
E58,history,The Treaty of Guadalupe Hidalgo ended which war?,Spanish-American War,Mexican-American War,War of 1812,French and Indian War,B,"The Treaty of Guadalupe Hidalgo ended the Mexican-American War in 1848 and resulted in Mexico ceding a large portion of its territory (including California and Texas) to the United States."
E59,history,Which ancient civilization built the city of Petra?,Romans,Nabataeans,Hittites,Phoenicians,B,"Petra was built by the Nabataeans, an ancient Arab people, around the 5th century BCE. It's famous for its rock-cut architecture and water conduit system."
E60,history,The Crimean War (1853-1856) was fought between Russia and which alliance?,Ottoman Empire alone,Ottoman Empire, Britain, and France,Germany and Austria-Hungary,Japan and China,B,"The Crimean War was fought between Russia and an alliance of the Ottoman Empire, Britain, France, and Sardinia from 1853 to 1856."
E61,history,The Reign of Terror was a period during which revolution?,American Revolution,Russian Revolution,French Revolution,Chinese Cultural Revolution,C,"The Reign of Terror was a period of violence during the French Revolution from 1793 to 1794, characterized by mass executions of 'enemies of the revolution.'"
E62,history,Who was the first African American Supreme Court Justice in the United States?,Thurgood Marshall,Clarence Thomas,Earl Warren,William O. Douglas,A,"Thurgood Marshall became the first African American Supreme Court Justice when he was appointed by President Lyndon B. Johnson in 1967."
E63,history,The Scramble for Africa primarily took place during which period?,1850s-1860s,1880s-1900s,1920s-1930s,1950s-1960s,B,"The Scramble for Africa, the rapid colonization of Africa by European powers, primarily occurred between the 1880s and early 1900s, formalized at the Berlin Conference of 1884-1885."
E64,history,Which city was the capital of the Byzantine Empire?,Rome,Athens,Alexandria,Constantinople,D,"Constantinople (modern-day Istanbul) was the capital of the Byzantine Empire from its foundation in 330 CE until its fall to the Ottoman Turks in 1453."
E65,history,The Great Purge was a period of political repression in which country?,Nazi Germany,Fascist Italy,Soviet Union,Imperial Japan,C,"The Great Purge was a campaign of political repression in the Soviet Union from 1936 to 1938, ordered by Joseph Stalin, involving widespread purges, executions, and exile."
E66,history,Who was the first President of the United States to resign from office?,Richard Nixon,Lyndon B. Johnson,Andrew Johnson,Gerald Ford,A,"Richard Nixon became the first and only U.S. President to resign from office on August 9, 1974, as a result of the Watergate scandal."
E67,history,The Battle of Hastings in 1066 led to which group taking control of England?,Normans,Vikings,Romans,Saxons,A,"The Battle of Hastings in 1066 resulted in the defeat of the Anglo-Saxon King Harold II by William, Duke of Normandy, leading to Norman control of England."
E68,history,The Marshall Plan was designed to aid the recovery of which region after World War II?,Eastern Europe,Western Europe,East Asia,Latin America,B,"The Marshall Plan, officially the European Recovery Program, was an American initiative to provide economic support to Western European countries after World War II."
E69,history,Which empire was ruled by Mansa Musa, known for his wealth and gold?,Songhai Empire,Mali Empire,Ghana Empire,Benin Empire,B,"Mansa Musa ruled the Mali Empire in West Africa from approximately 1312 to 1337 and is known as one of the wealthiest individuals in history due to Mali's vast gold resources."
E70,history,The Trail of Tears resulted from policies against which ethnic group?,Irish Americans,Chinese Americans,Native Americans,African Americans,C,"The Trail of Tears refers to the forced relocation of Native American tribes from the southeastern United States to territories west of the Mississippi River in the 1830s."
E71,history,Which document limited the power of the English monarchy in 1215?,Bill of Rights,Magna Carta,Declaration of Independence,Treaty of Versailles,B,"The Magna Carta, signed by King John in 1215, established the principle that everyone, including the monarch, was subject to the law and laid the foundation for constitutional government."
E72,history,The Taiping Rebellion occurred in which country?,Japan,India,China,Korea,C,"The Taiping Rebellion was a massive civil war in southern China from 1850 to 1864, led by Hong Xiuquan, who believed himself to be the younger brother of Jesus Christ."
E73,history,The Holocaust primarily occurred during which period?,1914-1918,1929-1935,1939-1945,1950-1956,C,"The Holocaust, the genocide of European Jews and other groups by Nazi Germany, primarily occurred during World War II (1939-1945)."
E74,history,Which country was the first to circumnavigate the globe under a single expedition?,England,Portugal,Spain,Netherlands,C,"The first circumnavigation of the globe was accomplished by the Spanish expedition of Ferdinand Magellan and Juan Sebastián Elcano between 1519 and 1522."
E75,history,The Partition of 1947 divided which region into separate countries?,Korea,Vietnam,Indian subcontinent,Palestine,C,"The Partition of 1947 divided British India into the independent nations of India and Pakistan (including present-day Bangladesh) based largely on religious demographics."
E76,history,Which river valley was home to ancient Egyptian civilization?,Tigris-Euphrates,Indus,Nile,Yellow River,C,"Ancient Egyptian civilization developed along the Nile River valley in northeastern Africa, with the river providing fertile soil for agriculture and serving as a crucial transportation route."
E77,history,The October Revolution of 1917 brought which political group to power in Russia?,Mensheviks,Social Revolutionaries,Bolsheviks,Constitutional Democrats,C,"The October Revolution (November 1917 in the Gregorian calendar) brought the Bolsheviks, led by Vladimir Lenin, to power in Russia, leading to the formation of the Soviet Union."
E78,history,The Pax Romana was a period of relative peace within which empire?,Greek,Persian,Byzantine,Roman,D,"The Pax Romana ('Roman Peace') was a period of relative peace and stability within the Roman Empire, lasting approximately from 27 BCE to 180 CE."
E79,history,Which treaty ended the American Revolutionary War?,Treaty of Paris,Treaty of Versailles,Treaty of Ghent,Treaty of Utrecht,A,"The Treaty of Paris, signed in 1783, ended the American Revolutionary War and recognized the independence of the thirteen former American colonies from Great Britain."
E80,history,The Khmer Rouge regime was responsible for genocide in which country?,Vietnam,Cambodia,Laos,Thailand,B,"The Khmer Rouge, led by Pol Pot, ruled Cambodia from 1975 to 1979 and was responsible for the Cambodian genocide, which killed an estimated 1.5 to 2 million people."
E81,history,Which event is often cited as the beginning of the Cold War?,Yalta Conference,Potsdam Conference,Churchill's Iron Curtain speech,Cuban Missile Crisis,C,"Winston Churchill's 'Iron Curtain' speech in Fulton, Missouri, on March 5, 1946, is often cited as marking the beginning of the Cold War between Western powers and the Soviet bloc."
E82,history,The Sepoy Mutiny of 1857 occurred in which country?,China,India,Egypt,South Africa,B,"The Sepoy Mutiny, also known as the Indian Rebellion of 1857, was a major uprising against British rule in India, triggered by religious and political tensions."
E83,history,Which ancient civilization built the city of Tenochtitlan?,Incas,Olmecs,Aztecs,Mayans,C,"Tenochtitlan was the capital city of the Aztec Empire, founded in 1325 on an island in Lake Texcoco. It's now the site of modern-day Mexico City."
E84,history,The Emancipation Proclamation was issued during which U.S. president's administration?,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant,James Buchanan,A,"The Emancipation Proclamation was issued by President Abraham Lincoln on January 1, 1863, declaring 'that all persons held as slaves' within the rebellious states 'are, and henceforward shall be free.'"
E85,history,The Protestant Reformation is traditionally considered to have begun with which event?,Council of Trent,Peace of Augsburg,Martin Luther's 95 Theses,Diet of Worms,C,"The Protestant Reformation is traditionally considered to have begun when Martin Luther posted his 95 Theses on the door of the All Saints' Church in Wittenberg, Germany, in 1517."
E86,history,Which dynasty unified China for the first time in 221 BCE?,Ming,Han,Song,Qin,D,"The Qin Dynasty, under Emperor Qin Shi Huang, unified China for the first time in 221 BCE, establishing a centralized imperial system that would last for over two millennia."
